"","probe","geneSymbol","geneName","geneEntrezID","geneEnsembl","T16.T0","T52.T0","AveExpr","F","P.Value","adj.P.Val"
"TC19000032.hg.1","TC19000032.hg.1","ATP5D","ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","513","ENSG00000099624",-0.173646141950131,-0.116566740042898,7.68496099250628,5.10097548005194,0.00778516456552076,0.999968912176812
"TC07003366.hg.1","TC07003366.hg.1","ATP5J2","ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2","9551","ENSG00000241468",-0.0522774538681485,-0.101178751255233,5.81770408955196,4.87835901760989,0.00953054011655215,0.999968912176812
"TC16001717.hg.1","TC16001717.hg.1","VPS9D1-AS1","VPS9D1 antisense RNA 1","100128881","ENSG00000261373",0.117379037938127,0.00544808181162004,5.81317299343115,4.78738059693766,0.0103543552607475,0.999968912176812
"TC12001617.hg.1","TC12001617.hg.1","ZBTB39","zinc finger and BTB domain containing 39","9880","ENSG00000166860",-0.0974753474436003,-0.116788479868607,5.56593559542095,4.57376086762838,0.0125864189993389,0.999968912176812
"TC15002309.hg.1","TC15002309.hg.1","ST20-AS1","ST20 antisense RNA 1","283687",NA,0.147897126571,0.0515179641133541,6.56799261257519,4.56664812692576,0.0126686622540764,0.999968912176812
"TC03001334.hg.1","TC03001334.hg.1","ANO10","anoctamin 10","55129","ENSG00000160746",0.114252178220463,0.0792339358541536,5.7670194542251,4.53828811670772,0.0130020721397612,0.999968912176812
"TC17000137.hg.1","TC17000137.hg.1","RANGRF","RAN guanine nucleotide release factor","29098","ENSG00000108961",-0.108110195255274,-0.0775197456322649,5.97010788291094,4.40451170134262,0.0146997362447638,0.999968912176812
"TC06000168.hg.1","TC06000168.hg.1","HIST1H1E","histone cluster 1 H1 family member e","3008","ENSG00000168298",-0.322563671914891,-0.280470890360885,9.38502747204224,4.39477423586568,0.0148318092387913,0.999968912176812
"TC17001502.hg.1","TC17001502.hg.1","KRT31","keratin 31","3881",NA,0.0776709412468612,-0.0172598511337378,5.03949003676815,4.32340068439997,0.015837576727235,0.999968912176812
"TC22000799.hg.1","TC22000799.hg.1","CBX6","chromobox 6","23466","ENSG00000183741",-0.0895073249120895,-0.0662569145302356,6.90393603906779,4.31363239429485,0.0159805409833294,0.999968912176812
"TC09001055.hg.1","TC09001055.hg.1","SIT1","signaling threshold regulating transmembrane adaptor 1","27240","ENSG00000137078",-0.114228529171463,-0.0637812078275672,6.1126923667607,4.25742352780118,0.0168291609792805,0.999968912176812
"TC06000166.hg.1","TC06000166.hg.1","HIST1H4C","histone cluster 1 H4 family member c","8364","ENSG00000197061",-0.314891515008807,-0.228949382564968,8.29857812510261,4.24050217118513,0.0170935322832351,0.999968912176812
"TC20000959.hg.1","TC20000959.hg.1","SUMO1P1","SUMO1 pseudogene 1","391257",NA,0.227137484098749,0.254351462164168,5.17793772691344,4.23618719474852,0.0171616228556128,0.999968912176812
"TC09001792.hg.1","TC09001792.hg.1","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","ENSG00000080503",-0.116738889348438,-0.0873926191090533,8.24100265766491,4.14888193434678,0.0186003559342603,0.999968912176812
"TC21000007.hg.1","TC21000007.hg.1","MIR3687-1","microRNA 3687-1","100500815","ENSG00000277437",-0.235340205345153,-0.163210135274926,7.92987082870239,4.08887247112611,0.0196601130271784,0.999968912176812
"TC17000553.hg.1","TC17000553.hg.1","MIR2117","microRNA 2117","100313779","ENSG00000284344",0.132982848405918,-0.0161797602386189,4.59062197990229,4.02691088496086,0.020819093781123,0.999968912176812
"TC19001717.hg.1","TC19001717.hg.1","PIH1D1","PIH1 domain containing 1","55011","ENSG00000104872",-0.0898161786201079,-0.0762996304647947,6.03447093926851,3.94079374589341,0.0225467082106482,0.999968912176812
"TC08000987.hg.1","TC08000987.hg.1","USP17L2","ubiquitin specific peptidase 17-like family member 2","377630","ENSG00000223443",0.0974258335515064,-0.00909281187148192,4.82833746753573,3.9376958701839,0.0226115121847781,0.999968912176812
"TC14000949.hg.1","TC14000949.hg.1","LMLN2","leishmanolysin like peptidase 2","100128908",NA,0.0530915773524612,-0.0541828330638516,4.78223981629495,3.84792733590881,0.0245742498368647,0.999968912176812
"TC22000952.hg.1","TC22000952.hg.1","DGCR6","DiGeorge syndrome critical region gene 6","8214","ENSG00000183628",0.0644173580015144,-0.014849593612988,7.30442347545815,3.79214937903975,0.0258805303926068,0.999968912176812
"TC0X002276.hg.1","TC0X002276.hg.1","MAGEA10","MAGE family member A10","4109","ENSG00000124260",0.132613458445525,0.0163686564246284,5.46681859361776,3.78986996835794,0.0259353947317118,0.999968912176812
"TC20000360.hg.1","TC20000360.hg.1","ZSWIM1","zinc finger SWIM-type containing 1","90204","ENSG00000168612",-0.0694315580116438,-0.00167523242604162,7.25156839550155,3.73486216431179,0.0272960090823363,0.999968912176812
"TC19000061.hg.1","TC19000061.hg.1","ZNF57","zinc finger protein 57","126295","ENSG00000171970",-0.0742824175465913,-0.0634600443946223,5.1462608911439,3.72170423692754,0.0276321269627394,0.999968912176812
"TC19000461.hg.1","TC19000461.hg.1","FXYD5","FXYD domain containing ion transport regulator 5","53827","ENSG00000089327",-0.137195380887996,-0.0887270240218054,8.05257830082121,3.70716286225374,0.0280084998031566,0.999968912176812
"TC16000099.hg.1","TC16000099.hg.1","IL32","interleukin 32","9235","ENSG00000008517",-0.172547239148638,-0.11621288225103,7.83884139530607,3.6289772664515,0.0301237270415962,0.999968912176812
"TC19002698.hg.1","TC19002698.hg.1","ECH1","enoyl-CoA hydratase 1","1891",NA,-0.225986775717162,-0.179740332283879,8.92832633978415,3.62744828425545,0.0301666787509856,0.999968912176812
"TC14002087.hg.1","TC14002087.hg.1","SYNDIG1L","synapse differentiation inducing 1 like","646658","ENSG00000183379",0.0783087840672385,-0.0395324928236684,4.88404986134512,3.61679871667163,0.0304675814187847,0.999968912176812
"TC02002360.hg.1","TC02002360.hg.1","MIR663B","microRNA 663b","100313824","ENSG00000221288",-0.130233346944303,-0.0551321207283708,7.60282248830648,3.57741489990121,0.0316072221846352,0.999968912176812
"TC10001004.hg.1","TC10001004.hg.1","ANKRD16","ankyrin repeat domain 16","54522","ENSG00000134461",-0.0485194739556558,-0.0583633629181186,5.24902623664979,3.57410142286642,0.0317050651116323,0.999968912176812
"TC06000618.hg.1","TC06000618.hg.1","MIR4642","microRNA 4642","100616352","ENSG00000266619",0.0927666531787992,0.0684184229238189,6.94961586931641,3.56769606492054,0.0318950844172305,0.999968912176812
"TC17000084.hg.1","TC17000084.hg.1","SLC16A13","solute carrier family 16 member 13","201232","ENSG00000174327",-0.081531850495943,-0.0661409486117659,5.93064769319727,3.44614000809571,0.0357298380437477,0.999968912176812
"TC06001545.hg.1","TC06001545.hg.1","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated","57819",NA,-0.0440884389939935,-0.0523556931682583,5.25657159928745,3.44106144536945,0.0358999251301452,0.999968912176812
"TC12002349.hg.1","TC12002349.hg.1","KMT2D","lysine methyltransferase 2D","8085","ENSG00000167548",-0.137061088537379,-0.133929007008889,6.65655912220631,3.43572270223444,0.0360796166757597,0.999968912176812
"TC17000320.hg.1","TC17000320.hg.1","TNFAIP1","TNF alpha induced protein 1","7126","ENSG00000109079",-0.0573233316486217,-0.0248778017813533,6.40771921957457,3.43450709096169,0.036120659836031,0.999968912176812
"TC19002687.hg.1","TC19002687.hg.1","CHERP","calcium homeostasis endoplasmic reticulum protein","10523","ENSG00000085872",-0.0731458183281939,-0.0415773034306302,6.83356474048356,3.41014756542945,0.0369532364834422,0.999968912176812
"TC09001361.hg.1","TC09001361.hg.1","FANCC","Fanconi anemia complementation group C","2176","ENSG00000158169",-0.0278344613710484,-0.0487468866111405,4.58710236622662,3.3808251538172,0.0379814589068967,0.999968912176812
"TC11001929.hg.1","TC11001929.hg.1","SYVN1","synoviolin 1","84447","ENSG00000162298",-0.0782122705059525,-0.085932785600769,7.36560209365852,3.3622117147966,0.0386492591109511,0.999968912176812
"TC01000334.hg.1","TC01000334.hg.1","FAM110D","family with sequence similarity 110 member D","79927","ENSG00000197245",0.0702910260545622,-0.0339596086861897,5.39669697097164,3.35740588544734,0.0388236168644982,0.999968912176812
"TC02002929.hg.1","TC02002929.hg.1","MIR4786","microRNA 4786","100616417","ENSG00000264279",0.11134152662312,0.00425050943948602,5.40429524781589,3.34475459274756,0.0392864584707873,0.999968912176812
"TC08002576.hg.1","TC08002576.hg.1","ZNF16","zinc finger protein 16","7564","ENSG00000170631",0.011620553212671,0.108909992025124,4.70588787329512,3.34398833827946,0.0393146716675053,0.999968912176812
"TC0X001522.hg.1","TC0X001522.hg.1","HCFC1","host cell factor C1","3054","ENSG00000172534",-0.128134383175657,-0.130014710949298,7.34499528297541,3.32738467958902,0.0399311146700676,0.999968912176812
"TC22000650.hg.1","TC22000650.hg.1","SF3A1","splicing factor 3a subunit 1","10291","ENSG00000099995",-0.0895708754279072,-0.0383222219974968,7.95521482403736,3.31852117222632,0.0402642175026727,0.999968912176812
"TC01006380.hg.1","TC01006380.hg.1","PYGO2","pygopus family PHD finger 2","90780","ENSG00000163348",-0.066177176145974,-0.0339697359235167,5.9819333274401,3.29734349083986,0.0410716300025109,0.999968912176812
"TC19000903.hg.1","TC19000903.hg.1","ZNF581","zinc finger protein 581","51545","ENSG00000171425",-0.0291264515155252,-0.0703456607442456,5.84962000621398,3.27221419882,0.0420511641693656,0.999968912176812
"TC19002061.hg.1","TC19002061.hg.1","RPSAP58","ribosomal protein SA pseudogene 58","388524",NA,-0.10067299072158,-0.0158732869291525,6.24498766176559,3.264684022074,0.0423493050709142,0.999968912176812
"TC6_mann_hap4000139.hg.1","TC6_mann_hap4000139.hg.1","C6orf47","chromosome 6 open reading frame 47","57827",NA,0.119399426045879,0.0432670447370507,5.76050251924618,3.26042594251127,0.0425188479954984,0.999968912176812
"TC02000767.hg.1","TC02000767.hg.1","RNU4ATAC","RNA, U4atac small nuclear (U12-dependent splicing)","100151683","ENSG00000264229",0.292795868632011,0.112729107280373,9.86046578160906,3.25873160829217,0.0425865033260971,0.999968912176812
"TC01003733.hg.1","TC01003733.hg.1","PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","5287","ENSG00000133056",-0.106694457894088,-0.0872843158374499,5.61558053616181,3.2577478041687,0.0426258373392508,0.999968912176812
"TC07001913.hg.1","TC07001913.hg.1","LOC100129148","uncharacterized LOC100129148","100129148",NA,-0.0967927704158011,-0.0678095716028446,4.6087160408526,3.25619872024169,0.0426878472527172,0.999968912176812
"TC20000210.hg.1","TC20000210.hg.1","ASXL1","additional sex combs like 1, transcriptional regulator","171023","ENSG00000171456",-0.080795552772579,-0.0380845191477075,6.50332643442624,3.24058447993321,0.0433180486178263,0.999968912176812
"TC03000261.hg.1","TC03000261.hg.1","TMIE","transmembrane inner ear","259236","ENSG00000181585",0.103095450619634,0.0718415635790635,4.8334666772382,3.23511639672613,0.0435409812994527,0.999968912176812
"TC19001541.hg.1","TC19001541.hg.1","SERTAD3","SERTA domain containing 3","29946","ENSG00000167565",0.0614185128814917,0.00951762078811935,6.78840998745562,3.23321455720697,0.0436187929670856,0.999968912176812
"TC16000267.hg.1","TC16000267.hg.1","LINC02175","long intergenic non-protein coding RNA 2175","283887","ENSG00000262155",0.0470098552096285,-0.0545082246117685,5.31994182897509,3.222984086888,0.0440398020601768,0.999968912176812
"TC12002138.hg.1","TC12002138.hg.1","LINC02415","long intergenic non-protein coding RNA 2415","107161159","ENSG00000248703",0.0962153457417783,-0.00207402466424966,5.66622498572279,3.2212271611931,0.0441125199061449,0.999968912176812
"TC21000953.hg.1","TC21000953.hg.1","CBR3-AS1","CBR3 antisense RNA 1","100506428","ENSG00000236830",-0.0666154552264526,0.0036992492795509,4.55808758636905,3.21093635689476,0.0445409154668283,0.999968912176812
"TC6_dbb_hap3000062.hg.1","TC6_dbb_hap3000062.hg.1","SNORA38","small nucleolar RNA, H/ACA box 38","677820",NA,0.230694631693753,0.108516058608193,5.08175358411051,3.20647805564218,0.0447278253397643,0.999968912176812
"TC0X001097.hg.1","TC0X001097.hg.1","ZC4H2","zinc finger C4H2-type containing","55906","ENSG00000126970",-0.116870461130644,-0.0785039097327269,5.34258458924881,3.20012036977476,0.0449957501012314,0.999968912176812
"TC06003342.hg.1","TC06003342.hg.1","LTB","lymphotoxin beta","4050",NA,0.136020916326152,0.0926566767848254,4.74823510237017,3.17948418847047,0.0458767332233583,0.999968912176812
"TC22000345.hg.1","TC22000345.hg.1","CCDC134","coiled-coil domain containing 134","79879","ENSG00000100147",-0.0678109824230919,-0.0723924736732791,6.74687020028043,3.17669869010296,0.0459969900468734,0.999968912176812
"TC17002023.hg.1","TC17002023.hg.1","LOC100130950","uncharacterized LOC100130950","100130950","ENSG00000261879",-0.0785440771720394,-0.051024431746062,5.38118275778263,3.17306934346148,0.0461541605048592,0.999968912176812
"TC14001475.hg.1","TC14001475.hg.1","SYNE3","spectrin repeat containing nuclear envelope family member 3","161176","ENSG00000176438",-0.177980523712736,-0.148426937201501,6.00405318736704,3.16837056522027,0.0463584573159378,0.999968912176812
"TC06000514.hg.1","TC06000514.hg.1","PPARD","peroxisome proliferator activated receptor delta","5467","ENSG00000112033",-0.0724267309692781,-0.0477394388217691,6.80428853805286,3.12499816456873,0.0482883508897429,0.999968912176812
"TC11001231.hg.1","TC11001231.hg.1","SIGIRR","single Ig and TIR domain containing","59307","ENSG00000185187",-0.116418496680939,-0.0801586971963131,7.01412931115922,3.12352488491822,0.0483553265820874,0.999968912176812
"TC19001128.hg.1","TC19001128.hg.1","NDUFA7","NADH:ubiquinone oxidoreductase subunit A7","4701","ENSG00000267855",-0.06319768283194,-0.0458715788518793,6.59462029747995,3.11500356443554,0.0487445716614283,0.999968912176812
"TC10000623.hg.1","TC10000623.hg.1","PTEN","phosphatase and tensin homolog","5728","ENSG00000171862",0.185787275488213,0.104286230951177,9.18166985928879,3.11057479017943,0.0489481343355147,0.999968912176812
"TC03003247.hg.1","TC03003247.hg.1","THPO","thrombopoietin","7066","ENSG00000090534",0.121183872874238,0.0340951498462978,5.0970813186668,3.09031831905788,0.0498903086569569,0.999968912176812
"TC20001697.hg.1","TC20001697.hg.1","LAMA5","laminin subunit alpha 5","3911","ENSG00000130702",0.0828211654012199,-0.0164231854199555,6.07375860932946,3.08878217729726,0.049962508460715,0.999968912176812
"TC05002077.hg.1","TC05002077.hg.1","BOD1","biorientation of chromosomes in cell division 1","91272","ENSG00000145919",-0.0767931370565558,0.00745435901166758,4.8160919845849,3.07348749568517,0.0506872102009494,0.999968912176812
"TC19000129.hg.1","TC19000129.hg.1","PNPLA6","patatin like phospholipase domain containing 6","10908","ENSG00000032444",-0.0604896122578209,-0.0561209932608975,7.24039875293593,3.06775455477395,0.0509616070807631,0.999968912176812
"TC16000894.hg.1","TC16000894.hg.1","PKD1P6-NPIPP1","PKD1P6-NPIPP1 readthrough","105369154","ENSG00000270580",-0.105584907251626,-0.0621441362697137,6.85193074017227,3.06208459668524,0.0512344800372076,0.999968912176812
"TC16000294.hg.1","TC16000294.hg.1","IL21R","interleukin 21 receptor","50615","ENSG00000103522",-0.0905689806642158,-0.0678118106859014,6.22176662965101,3.05677703890055,0.0514912627391391,0.999968912176812
"TC02002638.hg.1","TC02002638.hg.1","HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","57520","ENSG00000138411",0.105531545165396,0.0587407837203324,4.5812743043243,3.05629399487147,0.0515146977725824,0.999968912176812
"TC16001156.hg.1","TC16001156.hg.1","SNORA50A","small nucleolar RNA, H/ACA box 50A","677830","ENSG00000281910",0.154628071042586,0.112865753390222,8.10388791256434,3.0499958749013,0.0518212507538523,0.999968912176812
"TC01001501.hg.1","TC01001501.hg.1","MIR3120","microRNA 3120","100422882","ENSG00000283152",0.0831150709122106,-0.031596121766313,4.93086872748979,3.04949807616008,0.0518455596921398,0.999968912176812
"TC6_qbl_hap6000161.hg.1","TC6_qbl_hap6000161.hg.1","VARS","valyl-tRNA synthetase","7407",NA,-0.0136819645823527,-0.0586558676491524,6.30477396713447,3.04426754457611,0.0521016858978062,0.999968912176812
"TC08000186.hg.1","TC08000186.hg.1","LOC100507156","uncharacterized LOC100507156","100507156","ENSG00000253837",0.103381566007223,0.0576183855760979,4.92340730326044,3.04309863682617,0.0521591006705097,0.999968912176812
"TC06000335.hg.1","TC06000335.hg.1","HLA-L","major histocompatibility complex, class I, L (pseudogene)","3139",NA,0.052822525168998,0.0299133924210526,6.48924934245518,3.03815218052184,0.0524027776122016,0.999968912176812
"TC11003207.hg.1","TC11003207.hg.1","RELA","RELA proto-oncogene, NF-kB subunit","5970","ENSG00000173039",-0.110740482211241,-0.0620252839738091,5.72116384533792,3.02762812026794,0.0529250950550799,0.999968912176812
"TC17002001.hg.1","TC17002001.hg.1","PITPNA-AS1","PITPNA antisense RNA 1","100306951","ENSG00000236618",-0.123278406242427,-0.0238209106931109,6.19173508813671,3.02536765626325,0.0530379748280518,0.999968912176812
"TC15000629.hg.1","TC15000629.hg.1","CORO2B","coronin 2B","10391","ENSG00000103647",-0.00400781575427889,-0.0673820042471061,4.72388640990782,3.0230557405423,0.0531536779894584,0.999968912176812
"TC02003020.hg.1","TC02003020.hg.1","LOC105373414","uncharacterized LOC105373414","105373414",NA,0.0669977287359567,-0.0432642849088962,5.23385262114819,3.02055476211433,0.053279133038219,0.999968912176812
"TC19000069.hg.1","TC19000069.hg.1","NFIC","nuclear factor I C","4782","ENSG00000141905",-0.0785233790787396,-0.0549526588753322,7.41325720438585,3.02035525959705,0.0532891535606575,0.999968912176812
"TC10001958.hg.1","TC10001958.hg.1","RAB18","RAB18, member RAS oncogene family","22931","ENSG00000099246",0.157957878613286,0.125824648002631,7.74238021567952,3.01945877502674,0.053334205519297,0.999968912176812
"TC19001637.hg.1","TC19001637.hg.1","MYPOP","Myb related transcription factor, partner of profilin","339344","ENSG00000176182",-0.094457268536102,-0.0716072516456867,6.408413133946,3.01448570149154,0.053584829050425,0.999968912176812
"TC02002352.hg.1","TC02002352.hg.1","NOC2LP2","NOC2 like nucleolar associated transcriptional repressor pseudogene 2","401010",NA,0.083034998929624,0.0681092040252649,5.49431723518071,3.00473148884524,0.0540798984452601,0.999968912176812
"TC20001073.hg.1","TC20001073.hg.1","PRND","prion like protein doppel","23627","ENSG00000171864",0.102466551454933,0.0531321223119869,5.91367016047489,3.00264840871195,0.0541862272023451,0.999968912176812
